GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic,cusip
10983,LU,17830,21832,19500101,19620130,UNITED TECHNOLOGIES CORP,UTX,913017109
11032,LU,79637,4655,19810709,E,UNIVERSAL HEALTH SVCS INC,UHS,913903100
11060,LC,43553,21849,19660725,E,VF CORP,VFC,918204108
11115,LU,27043,21859,19620131,E,VARIAN MEDICAL SYSTEMS INC,VAR,92220P105
11220,LC,28388,21874,19630329,E,VORNADO REALTY TRUST,VNO,929042109
11220,LC,28388,21874,19620131,19630328,VORNADO REALTY TRUST,VNO,929042109
11228,LC,15202,21876,19620131,E,VULCAN MATERIALS CO,VMC,929160109
11228,LC,15202,21876,19600101,19620130,VULCAN MATERIALS CO,VMC,929160109
11259,LU,55976,21880,19721120,E,WALMART INC,WMT,931142103
11264,LU,19502,21881,19620131,E,WALGREENS BOOTS ALLIANCE INC,WBA,931427108
11264,LU,19502,21881,19491001,19620130,WALGREENS BOOTS ALLIANCE INC,WBA,931427108
11399,LC,66384,4879,19781130,E,WESTERN DIGITAL CORP,WDC,958102105
11399,LC,66384,4879,19770701,19781129,WESTERN DIGITAL CORP,WDC,958102105
11446,LC,21186,21913,19620131,20150701,MEADWESTVACO CORP,MWV,583334107
11456,LC,39917,21914,19631206,E,WEYERHAEUSER CO,WY,962166104
11465,LC,25419,21916,19620131,E,WHIRLPOOL CORP,WHR,963320106
11465,LC,25419,21916,19560101,19620130,WHIRLPOOL CORP,WHR,963320106
11506,LU,38156,21923,19620702,E,WILLIAMS COS INC,WMB,969457100
11550,LC,23536,21931,19620131,E,WEC ENERGY GROUP INC,WEC,92939U106
11550,LC,23536,21931,19510101,19620130,WEC ENERGY GROUP INC,WEC,92939U106
11554,LC,58819,4980,19721214,E,ALLIANT ENERGY CORP,LNT,18802108
11584,LU,15456,21936,19620131,E,FOOT LOCKER INC,FL,344849104
11584,LU,15456,21936,19500101,19620130,FOOT LOCKER INC,FL,344849104
11636,LC,27983,21945,19620131,E,XEROX HOLDINGS CORP,XRX,98421M106
11672,LU,40539,21949,19640512,E,TJX COS INC (THE),TJX,872540109
11687,LC,84129,5057,19740101,E,ZIONS BANCORPORATION NA,ZION,989701107
11811,LU,88664,7864,19851120,E,HENRY (JACK) & ASSOCIATES,JKHY,426281101
11814,LC,87055,7882,19851127,19931021,COSTCO WHOLESALE CORPORATION,COST.,221607104
11831,LC,88031,7902,19851206,19901107,CONTINENTAL VENTURES INC,COVI.,212154108
11856,LC,71563,4163,19820129,E,TRUIST FINANCIAL CORP,TFC,89832Q109
11856,LC,71563,4163,19820101,19820128,TRUIST FINANCIAL CORP,TFC,89832Q109
11923,LU,70332,20194,19861002,20190830,ANADARKO PETROLEUM CORP,APC,32511107
12124,LC,69032,21224,19860321,E,MORGAN STANLEY,MS,617446448
12138,LU,10138,8087,19860402,E,PRICE (T. ROWE) GROUP,TROW,74144T108
12141,LC,10107,8048,19860313,E,MICROSOFT CORP,MSFT,594918104
12142,LC,10104,8045,19860312,E,ORACLE CORP,ORCL,68389X105
12151,LC,13983,54444,20130613,E,COTY INC,COTY,222070203
12389,LU,70033,20881,19860708,E,HARLEY-DAVIDSON INC,HOG,412822108
12441,LC,79698,12457,20031001,E,GARTNER INC,IT,366651107
12441,LC,79698,12457,19990727,20030930,GARTNER INC,IT,366651107
12441,LC,79698,12457,19990701,19990726,GARTNER INC,IT,366651107
12441,LC,79698,12457,19931005,19990630,GARTNER INC,IT,366651107
12540,LC,75510,8476,19860813,E,ADOBE INC,ADBE,00724F101
12635,LC,10696,8598,19860925,E,FISERV INC,FISV,337738108
12726,LU,71175,21798,19861231,E,UNUM GROUP,UNM,91529Y106
12850,LU,10909,8786,19870130,E,CERNER CORP,CERN,156782104
12886,LC,90442,21287,20041201,E,TWENTY-FIRST CENTURY FOX INC,TFCFA,90130A309
12886,LC,90442,21287,20041112,20041130,TWENTY-FIRST CENTURY FOX INC,TFCFA,90130A309
12886,LC,90441,21287,20041201,E,TWENTY-FIRST CENTURY FOX INC,TFCFA,90130A309
12886,LC,90441,21287,20041112,20041130,TWENTY-FIRST CENTURY FOX INC,TFCFA,90130A309
13125,LC,67598,20891,19860131,E,HEALTHPEAK PROPERTIES INC,PEAK,42250P103
13125,LC,67598,20891,19860101,19860130,HEALTHPEAK PROPERTIES INC,PEAK,42250P103
13341,LU,64390,3682,19790131,E,PROGRESSIVE CORP-OHIO,PGR,743315103
13341,LU,64390,3682,19790101,19790130,PROGRESSIVE CORP-OHIO,PGR,743315103
13421,LU,11403,9245,19870610,E,CADENCE DESIGN SYSTEMS INC,CDNS,127387108
13498,LC,75154,20394,19870724,E,CARNIVAL CORPORATION & PLC,CCL,143658300
13510,LU,75341,20609,19880831,E,DUKE REALTY CORP,DRE,264411505
13599,LU,11552,9374,19870930,20191129,CELGENE CORP,CELG,151020104
13619,LU,75107,20018,19870729,E,ABIOMED INC,ABMD,3654100
13646,LU,75100,21753,19870505,E,TIFFANY & CO,TIF,886547108
13700,LC,11600,9424,19870812,E,DENTSPLY SIRONA INC,XRAY,24906P109
13714,LC,76226,21866,19941001,E,VIACOMCBS INC,VIAC,92556H206
13714,LC,76226,21866,19900614,19940930,VIACOMCBS INC,VIAC,92556H206
13714,LC,75104,21866,19941001,E,VIACOMCBS INC,VIAC,92556H206
13714,LC,75104,21866,19870610,19940930,VIACOMCBS INC,VIAC,92556H206
13721,LC,13788,54327,20130201,E,ZOETIS INC,ZTS,98978V103
13888,LC,81593,5849,20150928,E,MR COOPER GROUP INC,COOP,62482R107
13988,LC,75186,21578,19870922,E,SCHWAB (CHARLES) CORP,SCHW,808513105
14225,LU,11618,9440,19870820,E,FASTENAL CO,FAST,311900104
14256,LC,11896,9698,20081008,E,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101
14256,LC,11896,9698,19880229,20071001,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101
14275,LC,12448,53609,20101209,E,FIRST REPUBLIC BANK,FRC,33616C100
14282,LC,84769,31967,19970520,E,AMPHENOL CORP,APH,32095101
14359,LU,75241,21366,19871222,E,PIONEER NATURAL RESOURCES CO,PXD,723787107
14418,LU,11891,9764,19880502,E,MGM RESORTS INTERNATIONAL,MGM,552953101
14477,LU,11955,9804,19880603,E,WASTE MANAGEMENT INC,WM,94106L109
14590,LC,81774,20763,19950731,E,FREEPORT-MCMORAN INC,FCX,35671D857
14794,LC,84387,31894,19970102,E,CORE MOLDING TECHNOLOGIES,CMT,218683100
14824,LC,23473,912,19820129,E,CINCINNATI FINANCIAL CORP,CINF,172062101
14934,LC,87137,35222,19990818,E,DEVON ENERGY CORP,DVN,25179M103
14960,LC,12062,9848,19880707,E,LABORATORY CP OF AMER HLDGS,LH,50540R409
15247,LC,85269,32066,19970812,E,VALERO ENERGY CORP,VLO,91913Y100
15855,LC,75607,10224,19890623,E,NORTONLIFELOCK INC,NLOK,668771108
16101,LC,13721,54287,20130102,E,ABBVIE INC,ABBV,00287Y109
16243,LC,81593,5849,19830311,20080926,WASHINGTON MUTUAL INC,WAMUQ,939322103
16245,LC,12073,9847,19880706,E,PEOPLE'S UNITED FINL INC,PBCT,712704105
16478,LU,75825,22113,19891004,E,EOG RESOURCES INC,EOG,26875P101
16721,LU,75828,10303,19890920,E,ELECTRONIC ARTS INC,EA,285512109
17120,LC,11786,9588,19871023,E,SVB FINANCIAL GROUP,SIVB,78486Q101
17239,LC,75819,10302,19890919,19980430,KINDRED HEALTHCARE INC,KND,494580103
17928,LC,13911,54401,20130509,E,IQVIA HOLDINGS INC,IQV,46266C105
18043,LC,13964,54433,20130701,E,NEWS CORP,NWSA,65249B109
18043,LC,13963,54433,20130701,E,NEWS CORP,NWSA,65249B109
18872,LC,14295,54638,20131107,E,TWITTER INC,TWTR,90184L102
20232,LC,14939,55033,20141103,E,KEYSIGHT TECHNOLOGIES INC,KEYS,49338L103
20515,LC,14704,54895,20140619,20160712,MARKIT LTD,MRKT,G58249106
20548,LU,76082,26024,19900208,E,CABOT OIL & GAS CORP,COG,127097103
20686,LC,14776,54936,20140731,E,SYNCHRONY FINANCIAL,SYF,87165B103
20748,LC,14714,54907,20140606,E,ARISTA NETWORKS INC,ANET,40413106
20779,LC,76076,10486,19900216,E,CISCO SYSTEMS INC,CSCO,17275R102
20904,LC,76095,10504,19900301,E,HOLOGIC INC,HOLX,436440101
21825,LC,14889,55006,20140924,E,CITIZENS FINANCIAL GROUP INC,CFG,174610105
22260,LC,12622,53696,20110310,E,HCA HEALTHCARE INC,HCA,40412C101
22325,LU,76201,10634,19900612,E,XILINX INC,XLNX,983919101
23809,LU,76605,29009,19910402,E,AUTOZONE INC,AZO,53332102
23812,LU,76614,10876,19910402,E,REGENERON PHARMACEUTICALS,REGN,75886F107
24197,LU,76709,10989,19910621,E,IDEXX LABS INC,IDXX,45168D104
24216,LU,76712,10996,19910626,E,AES CORP (THE),AES,00130H105
24316,LC,88031,7902,19901108,E,MONSTER BEVERAGE CORP,MNST,61174X109
24344,LU,76744,11042,19910724,E,VERTEX PHARMACEUTICALS INC,VRTX,92532F100
24468,LC,76841,11112,19910917,E,BIOGEN INC,BIIB,09062X103
24616,LC,15488,55341,20150720,E,PAYPAL HOLDINGS INC,PYPL,70450Y103
24731,LC,77129,29335,19911122,E,KIMCO REALTY CORP,KIM,49446R109
24782,LU,77182,11257,19911217,E,PERRIGO CO PLC,PRGO,G97822103
24800,LU,77178,11253,19911213,E,QUALCOMM INC,QCOM,747525103
24856,LU,77274,11300,19920122,E,GILEAD SCIENCES INC,GILD,375558103
24925,LU,77338,11344,19920213,E,ROPER TECHNOLOGIES INC,ROP,776696106
24975,LU,77357,11361,19920226,E,SYNOPSYS INC,SNPS,871607107
25119,LU,77496,11446,19920401,E,MOHAWK INDUSTRIES INC,MHK,608190104
25279,LU,77605,29489,19920519,E,BOSTON SCIENTIFIC CORP,BSX,101137107
25283,LU,77606,29494,19920519,E,KOHL'S CORP,KSS,500255104
25340,LU,77661,11559,19920605,E,D R HORTON INC,DHI,23331A109
25434,LU,77702,11592,19920626,E,STARBUCKS CORP,SBUX,855244109
26156,LC,15707,55421,20151102,E,HEWLETT PACKARD ENTERPRISE,HPE,42824C109
26590,LC,16087,55585,20160705,E,FORTIVE CORP,FTV,34959J108
27845,LC,78916,11965,19930217,E,ALLERGAN PLC,AGN,G0177J108
27914,LC,48653,20950,19930331,E,HUMANA INC,HUM,444859102
27928,LC,78975,12011,19930312,E,INTUIT INC,INTU,461202103
27965,LC,78987,12027,19930319,E,MICROCHIP TECHNOLOGY INC,MCHP,595017104
28034,LC,79057,29796,19930325,E,CHUBB LTD,CB,H1467J104
28180,LU,79103,12097,19930423,E,O'REILLY AUTOMOTIVE INC,ORLY,67103H107
28191,LU,79145,29819,19930428,E,ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103
28192,LC,24643,20060,20161101,E,HOWMET AEROSPACE INC,HWM,443201108
28349,LC,79323,29870,19930603,E,ALLSTATE CORP,ALL,20002101
28477,LU,79265,12214,19930622,E,FLIR SYSTEMS INC,FLIR,302445101
28733,LU,79547,29940,19930812,E,EQUITY RESIDENTIAL,EQR,29476L107
28742,LU,79545,29936,19930813,E,BORGWARNER INC,BWA,99724106
28790,LC,16431,55778,20161110,E,LAMB WESTON HOLDINGS INC,LW,513272104
28930,LC,85913,30005,19980501,E,MARRIOTT INTL INC,MAR,571903202
28930,LC,85913,30005,19980330,19980430,MARRIOTT INTL INC,MAR,571903202
29028,LC,87055,7882,19931022,E,COSTCO WHOLESALE CORP,COST,22160K105
29099,LU,79782,30011,19931029,E,REGENCY CENTERS CORP,REG,758849103
29127,LU,79906,30033,19931104,E,INCYTE CORP,INCY,45337C102
29173,LU,79915,30044,19931112,20190228,NEWFIELD EXPLORATION CO,NFX,651290108
29389,LC,80100,30086,19931214,E,SIMON PROPERTY GROUP INC,SPG,828806109
29392,LU,80080,30070,19940104,E,EASTMAN CHEMICAL CO,EMN,277432100
29649,LC,80183,30104,19940128,E,MID-AMERICA APT CMNTYS INC,MAA,59522J103
29733,LC,80204,30260,19940217,E,MARTIN MARIETTA MATERIALS,MLM,573284106
29736,LU,80286,12863,19940218,E,TRACTOR SUPPLY CO,TSCO,892356106
29751,LU,80191,30249,19940311,E,ALBEMARLE CORP,ALB,12653101
29804,LC,81910,30929,19950825,E,INVESCO LTD,IVZ,G491BT108
29830,LC,21186,21913,20150702,E,WESTROCK CO,WRK,96145D105
29868,LU,80399,30362,19940310,E,MACERICH CO,MAC,554382101
29875,LU,80381,30345,19940311,E,AVALONBAY COMMUNITIES INC,AVB,53484101
29901,LU,80320,12926,19940317,E,COPART INC,CPRT,217204106
29984,LC,85592,32135,20110603,E,PROLOGIS INC,PLD,74340W103
30137,LU,80539,13036,19940503,E,NEKTAR THERAPEUTICS,NKTR,640268108
30146,LC,46392,6496,19990428,20190301,INVESTMENT TECHNOLOGY GP INC,ITG,46145F105
30293,LU,80681,30421,19940607,E,ESSEX PROPERTY TRUST,ESS,297178105
30490,LU,80711,30438,19940722,E,APARTMENT INVST & MGMT CO,AIV,03748R754
30822,LU,81045,30500,19941018,E,REALTY INCOME CORP,O,756109104
30923,LC,16538,55833,20170117,E,TECHNIPFMC PLC,FTI,G87110105
30990,LC,81055,30513,19941116,E,CAPITAL ONE FINANCIAL CORP,COF,14040H105
31587,LC,81481,13603,19950307,E,DOLLAR TREE INC,DLTR,256746108
31673,LC,81540,13650,19950404,E,AMERISOURCEBERGEN CORP,ABC,3.07E+108
31774,LC,16816,56000,20170807,E,BRIGHTHOUSE FINANL INC,BHF,10922N103
31846,LC,81655,30886,19950530,E,DARDEN RESTAURANTS INC,DRI,237194105
31887,LU,81736,13753,19950602,E,RESMED INC,RMD,761152107
32106,LC,75034,20253,20170705,E,BAKER HUGHES CO,BKR,05722G100
60900,LU,81696,13790,19950621,E,DISH NETWORK CORP,DISH,25470M109
61388,LU,82303,30970,19951003,E,EVEREST RE GROUP LTD,RE,G3223R108
61483,LU,82307,30975,19951031,E,DAVITA INC,DVA,23918K108
61494,LU,82581,14098,19951103,E,HENRY SCHEIN INC,HSIC,806407102
61496,LC,82621,14097,20150601,E,MILESTONE SCIENTIFIC INC,MLSS,59935P209
61496,LC,82621,14097,19951107,20060831,MILESTONE SCIENTIFIC INC,MLSS,59935P209
61567,LC,82642,31196,19951117,E,LAUDER (ESTEE) COS INC -CL A,EL,518439104
61574,LU,82651,31208,19951117,E,WATERS CORP,WAT,941848103
61591,LU,82598,14152,19951121,E,NETAPP INC,NTAP,64110D104
61676,LU,82686,14201,19951208,E,CITRIX SYSTEMS INC,CTXS,177376100
61739,LC,82775,31386,19951220,E,HARTFORD FINANCIAL SERVICES,HIG,416515104
62263,LU,83111,14394,19960228,E,ALEXION PHARMACEUTICALS INC,ALXN,15351109
62374,LU,83143,14330,19960201,E,IRON MOUNTAIN INC,IRM,46284V101
62689,LC,59459,4293,20040402,E,TRAVELERS COS INC,TRV,8.94E+113
62723,LU,83382,14568,19960430,E,TUCOWS INC,TCX,898697206
63080,LU,83621,14744,19960620,E,ANSYS INC,ANSS,03662Q105
63501,LC,83862,14915,19960816,E,E TRADE FINANCIAL CORP,ETFC,269246401
63892,LC,84032,31769,19961029,E,NATIONAL OILWELL VARCO INC,NOV,637071101
64166,LU,84373,31838,19970114,E,QUEST DIAGNOSTICS INC,DGX,74834L100
64410,LC,89508,43519,20021001,E,CARMAX INC,KMX,143130102
64630,LU,84761,15436,19970415,E,TAKE-TWO INTERACTIVE SFTWR,TTWO,874054109
64768,LC,84788,15473,19970515,E,AMAZON.COM INC,AMZN,23135106
64821,LC,84767,31965,19970523,E,ALEXANDRIA R E EQUITIES INC,ARE,15271109
64853,LC,85035,15506,19970603,E,QORVO INC,QRVO,74736K101
64891,LU,85072,32009,19970612,E,RALPH LAUREN CORP,RL,751212101
64925,LU,85058,31991,19970618,E,BOSTON PROPERTIES INC,BXP,101121101
65089,LC,11674,20574,19620131,19801231,DETROIT EDISON CO,DTE1,250847001
65089,LC,11674,20574,19510101,19620130,DETROIT EDISON CO,DTE1,250847001
65290,LU,85265,32062,19970815,E,SL GREEN REALTY CORP,SLG,78440X101
65417,LC,85348,32093,19971007,E,YUM BRANDS INC,YUM,988498101
65576,LC,85592,32135,19971121,20110602,AMB PROPERTY CORP,AMB,00163T109
65609,LU,85459,15758,19971015,E,C H ROBINSON WORLDWIDE INC,CHRW,12541W209
65772,LU,85621,32158,19971114,E,METTLER-TOLEDO INTL INC,MTD,592688105
65886,LU,85593,32136,19971121,E,AFFILIATED MANAGERS GRP INC,AMG,8252108
66065,LU,85663,32191,19971218,E,UNITED RENTALS INC,URI,911363109
66368,LU,85753,15940,19980130,E,VERISIGN INC,VRSN,9.23E+106
66446,LU,85792,34660,19980212,E,QUANTA SERVICES INC,PWR,7.48E+106
100873,LC,12542,53656,20110126,E,NIELSEN HOLDINGS PLC,NLSN,G6518L108
104432,LC,13760,54313,20130118,E,NORWEGIAN CRUISE LINE HLDGS,NCLH,G66721104
105365,LC,86111,34770,19980605,E,AMERICAN TOWER CORP,AMT,03027X100
110179,LC,75819,10302,19980529,E,VENTAS INC,VTR,92276F100
110685,LC,86021,34746,19980519,20190630,L3 TECHNOLOGIES INC,LLL,502413107
111864,LU,86158,16167,19980619,E,COGNIZANT TECH SOLUTIONS,CTSH,192446102
112168,LC,86228,34838,19980701,E,REPUBLIC SERVICES INC,RSG,760759100
113490,LC,86339,16268,19980818,E,CROWN CASTLE INTL CORP,CCI,22822V101
114524,LU,86356,16285,19980924,E,EBAY INC,EBAY,278642103
114628,LU,86868,35048,19990504,E,GOLDMAN SACHS GROUP INC,GS,38141G104
117768,LU,86580,16382,19990122,E,NVIDIA CORP,NVDA,67066G104
118122,LC,13103,53927,20111117,E,APTIV PLC,APTV,G6095L109
119314,LC,86783,16454,19990330,E,BOOKING HOLDINGS INC,BKNG,09857L108
121077,LU,86964,16561,19990604,E,F5 NETWORKS INC,FFIV,315616102
121382,LU,86996,16584,19990616,E,SBA COMMUNICATIONS CORP,SBAC,78410G104
121718,LU,86979,16614,19990625,E,JUNIPER NETWORKS INC,JNPR,48203R104
122841,LC,87184,16753,19990811,20190731,RED HAT INC,RHT,756577102
124434,LU,87267,36336,19991001,E,BLACKROCK INC,BLK,09247X101
125595,LC,87299,17300,19991029,E,AKAMAI TECHNOLOGIES INC,AKAM,00971T101
126136,LC,12308,17322,20100914,E,CHARTER COMMUNICATIONS INC,CHTR,16119P108
126296,LC,90808,47013,20050729,E,EXPEDIA GROUP INC,EXPE,30212P303
126554,LC,87432,36364,19991118,E,AGILENT TECHNOLOGIES INC,A,00846U101
128978,LC,87541,23511,20000128,E,PACKAGING CORP OF AMERICA,PKG,695156109
133366,LC,87657,36952,20000403,E,EDWARDS LIFESCIENCES CORP,EW,2.82E+112
133768,LC,87842,37138,20000405,E,METLIFE INC,MET,59156R108
135990,LC,90071,37496,20040325,E,NRG ENERGY INC,NRG,629377508
136725,LC,88352,37727,20000613,E,INTUITIVE SURGICAL INC,ISRG,46120E602
138205,LC,88446,37938,20000728,E,ILLUMINA INC,ILMN,452327109
138743,LC,89617,38419,20021231,E,EQUINIX INC,EQIX,29444U700
139665,LC,48506,20610,20001031,E,MOODY'S CORP,MCO,615369105
140541,LC,88661,40143,20001005,E,TAPESTRY INC,TPR,876030107
141384,LC,88860,41154,20010126,E,ALIGN TECHNOLOGY INC,ALGN,16255101
141459,LC,88837,41059,20001208,E,GARMIN LTD,GRMN,H2906T109
141913,LC,88873,41168,20010201,E,GLOBAL PAYMENTS INC,GPN,37940X102
142953,LC,89006,41680,20010613,E,MONDELEZ INTERNATIONAL INC,MDLZ,609207105
143356,LC,89258,42524,20011213,E,PRUDENTIAL FINANCIAL INC,PRU,744320102
143357,LC,89071,41871,20010719,E,ACCENTURE PLC,ACN,G1151C101
143974,LC,89002,41671,20010608,E,ALLIANCE DATA SYSTEMS CORP,ADS,18581108
144009,LC,89017,41694,20010612,E,WILLIS TOWERS WATSON PLC,WLTW,G96629103
144119,LC,89003,41673,20010709,20060131,CERTEGY INC,CEY.3,156880106
144559,LC,89070,41870,20010807,E,ZIMMER BIOMET HOLDINGS INC,ZBH,98956P102
145046,LC,89179,42273,20011030,E,ANTHEM INC,ANTM,36752103
145552,LC,89269,42540,20011213,E,CENTENE CORP,CNC,15135B101
145701,LC,89195,42285,20011023,E,PRINCIPAL FINANCIAL GRP INC,PFG,74251V102
145977,LC,89217,42402,20011129,E,ADVANCE AUTO PARTS INC,AAP,00751Y106
147579,LC,89393,43145,20020523,E,NETFLIX INC,NFLX,64110L106
148349,LC,91152,50481,20060315,E,TRANSDIGM GROUP INC,TDG,893641100
149070,LC,89626,43791,20021206,E,CME GROUP INC,CME,12572Q105
149318,LC,89533,43620,20021025,E,WYNN RESORTS LTD,WYNN,983134107
149337,LC,90601,46282,20050210,E,NASDAQ INC,NDAQ,631103108
150699,LC,89509,43520,20021001,E,CIMAREX ENERGY CO,XEC,171798101
150937,LC,89641,43807,20021211,E,SEAGATE TECHNOLOGY PLC,STX,G7945M107
155394,LC,89866,44497,20031003,E,LKQ CORP,LKQ,501889208
157057,LC,90038,44893,20040205,E,ASSURANT INC,AIZ,04621X108
157855,LC,90215,45288,20040623,E,SALESFORCE.COM INC,CRM,79466L302
160225,LC,91233,50700,20060525,E,MASTERCARD INC,MA,57636Q104
160329,LC,90319,45483,20040819,E,ALPHABET INC,GOOGL,02079K305
160329,LC,14542,45483,20140403,E,ALPHABET INC,GOOGL,02079K305
160479,LC,90305,45469,20040812,E,EXTRA SPACE STORAGE INC,EXR,30225T102
160991,LC,90373,45684,20041029,E,DIGITAL REALTY TRUST INC,DLR,253868103
162129,LC,90386,45695,20041025,E,MOSAIC CO,MOS,61945C103
162254,LC,90520,46091,20050121,E,CELANESE CORP,CE,150870103
162906,LC,14704,54895,20160713,E,IHS MARKIT LTD,INFO,G47567105
163610,LC,90993,48793,20051116,E,INTERCONTINENTAL EXCHANGE,ICE,45866F104
163946,LC,90829,47183,20050811,E,CF INDUSTRIES HOLDINGS INC,CF,125269100
164296,LC,92778,47011,20080918,E,DISCOVERY INC,DISCA,25470F104
164296,LC,90805,47011,20050721,E,DISCOVERY INC,DISCA,25470F104
164708,LC,90880,47422,20051003,E,AMERIPRISE FINANCIAL INC,AMP,03076C106
165052,LC,90979,48779,20051118,E,UNDER ARMOUR INC,UAA,904311107
165052,LC,15980,48779,20160408,E,UNDER ARMOUR INC,UAA,904311107
165675,LC,91063,50032,20060103,20191231,VIACOM INC,VIAB,92553P201
165914,LC,91068,50184,20060126,E,CHIPOTLE MEXICAN GRILL INC,CMG,169656105
165993,LC,89003,41673,20060201,E,FIDELITY NATIONAL INFO SVCS,FIS,31620M106
170617,LC,13407,54084,20120518,E,FACEBOOK INC,FB,30303M102
170750,LC,13641,54222,20121012,E,DIAMONDBACK ENERGY INC,FANG,25278X109
170841,LC,13356,54048,20120501,E,PHILLIPS 66,PSX,718546104
175263,LC,91461,51196,20061002,E,WESTERN UNION CO,WU,959802109
175319,LC,91416,51096,20060906,E,HANESBRANDS INC,HBI,410345102
175955,LC,91668,51555,20061213,E,IPG PHOTONICS CORP,IPGP,44980X109
176928,LC,91849,51962,20070402,E,BROADRIDGE FINANCIAL SOLUTNS,BR,11133T103
177267,LC,92157,52418,20070702,E,TE CONNECTIVITY LTD,TEL,H84989104
177376,LC,92121,52396,20070702,E,DISCOVER FINANCIAL SVCS,DFS,254709108
177884,LC,92239,52684,20070803,E,CONCHO RESOURCES INC,CXO,20605P101
178507,LC,92402,52840,20071115,E,MSCI INC,MSCI,55354G100
178704,LC,92322,52788,20071025,E,ULTA BEAUTY INC,ULTA,90384S303
179437,LC,92614,52985,20080423,E,AMERICAN WATER WORKS CO INC,AWK,30420103
179534,LC,92611,52983,20080319,E,VISA INC,V,92826C839
179621,LC,92602,52978,20080331,E,PHILIP MORRIS INTERNATIONAL,PM,718172109
180405,LC,79678,12499,20080710,E,ACTIVISION BLIZZARD INC,ATVI,00507V109
180652,LC,93089,53256,20091007,E,VERISK ANALYTICS INC,VRSK,92345Y106
180711,LC,93002,53196,20090806,E,BROADCOM INC,AVGO,11135F101
183377,LC,93132,53286,20091118,E,FORTINET INC,FTNT,3.50E+113
184500,LC,93429,53447,20100615,E,CBOE GLOBAL MARKETS INC,CBOE,12503M108
184700,LC,12449,53610,20101215,E,FLEETCOR TECHNOLOGIES INC,FLT,339041105
186310,LC,12623,53697,20110331,E,HUNTINGTON INGALLS IND INC,HII,446413106
186989,LC,12872,53810,20110623,E,MARATHON PETROLEUM CORP,MPC,56585A102
188255,LC,12981,53876,20111004,E,FORTUNE BRANDS HOME & SECUR,FBHS,34964C106
189491,LC,13035,53896,20111101,E,XYLEM INC,XYL,98419M100
199356,LC,13168,53964,20111221,E,TRIPADVISOR INC,TRIP,896945201
260774,LC,90199,45270,20040610,E,CBRE GROUP INC,CBRE,12504L109
260778,LC,90272,45394,20040707,E,WELLCARE HEALTH PLANS INC,WCG,94946T106
294524,LC,12345,53531,20101014,E,LYONDELLBASELL INDUSTRIES NV,LYB,N53745100
316056,LC,14297,54641,20131202,E,ALLEGION PLC,ALLE,G0176J109
